id,Name,TotalVotes,Percentage
17,NARODNA PARTIJA SRPSKE-DARKO BANJAC-PUS-PRVA SDS,9,3.7
17,ZA PRAVDU I RED - LISTA NEBOJŠE VUKANOVIĆA,6,2.47
17,SPS - SOCIJALISTIČKA PARTIJA SRPSKE - GORAN SELAK,6,2.47
17,DNS-DEMOKRATSKI NARODNI SAVEZ,6,2.47
17,UJEDINJENA SRPSKA,3,1.23
17,PNP - POTKOZARSKI NARODNI POKRET,1,0.41
17,ZAVIČAJNI SOCIJALDEMOKRATI - MILE MARČETA,0,0
17,SAVEZ ZA DEMOKRATSKU SRPSKU,0,0
17,NAŠA PRIČA REPUBLIKA SRPSKA,0,0
17,DEMOKRATSKI SAVEZ-DEMOS,0,0
17,ZA DRŽAVU BIH,0,0
17,SLOBODNA STRANKA SRPSKE,0,0
17,SAVEZ ZA NOVU POLITIKU,0,0
17,SRPSKA NAPREDNA STRANKA FBIH,0,0
17,OTADŽBINSKA STRANKA,0,0
17,REPUBLIČKA STRANKA SRPSKE-RSS,0,0
17,PARTIJA UJEDINJENIH PENZIONERA (PUP),0,0
17,SELJAČKA STRANKA,0,0
17,STRANKA ŽIVOT,0,0
17,DEMOKRATSKI CENTAR REPUBLIKE SRPSKE - DCRS,0,0
17,RADNIČKA PARTIJA,0,0
18,POKRET ZA DRŽAVU,275,97.17
18,ZA DRŽAVU BIH,5,1.77
18,SOCIJALISTIČKA PARTIJA PETAR ĐOKIĆ-NDP-SNP,2,0.71
18,PDP - PARTIJA DEMOKRATSKOG PROGRESA,1,0.35
18,SPS - SOCIJALISTIČKA PARTIJA SRPSKE - GORAN SELAK,0,0
18,SRPSKA NAPREDNA STRANKA FBIH,0,0
18,DEMOKRATSKI CENTAR REPUBLIKE SRPSKE - DCRS,0,0
18,OTADŽBINSKA STRANKA,0,0
18,SDS-SRPSKA DEMOKRATSKA STRANKA,0,0
18,DEMOKRATSKI SAVEZ-DEMOS,0,0
18,STRANKA ŽIVOT,0,0
18,PNP - POTKOZARSKI NARODNI POKRET,0,0
18,NARODNA PARTIJA SRPSKE-DARKO BANJAC-PUS-PRVA SDS,0,0
18,REPUBLIČKA STRANKA SRPSKE-RSS,0,0
18,NAŠA PRIČA REPUBLIKA SRPSKA,0,0
18,UJEDINJENA SRPSKA,0,0
18,SAVEZ ZA NOVU POLITIKU,0,0
18,SELJAČKA STRANKA,0,0
18,PARTIJA UJEDINJENIH PENZIONERA (PUP),0,0
18,DNS-DEMOKRATSKI NARODNI SAVEZ,0,0
18,ZAVIČAJNI SOCIJALDEMOKRATI - MILE MARČETA,0,0
18,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,0,0
18,RADNIČKA PARTIJA,0,0
18,ZA PRAVDU I RED - LISTA NEBOJŠE VUKANOVIĆA,0,0
18,SAVEZ ZA DEMOKRATSKU SRPSKU,0,0
18,SLOBODNA STRANKA SRPSKE,0,0
19,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,58,32.04
19,POKRET ZA DRŽAVU,33,18.23
19,PDP - PARTIJA DEMOKRATSKOG PROGRESA,30,16.57
19,SDS-SRPSKA DEMOKRATSKA STRANKA,22,12.15
19,NARODNA PARTIJA SRPSKE-DARKO BANJAC-PUS-PRVA SDS,16,8.84
19,SOCIJALISTIČKA PARTIJA PETAR ĐOKIĆ-NDP-SNP,8,4.42
19,UJEDINJENA SRPSKA,5,2.76
19,ZA PRAVDU I RED - LISTA NEBOJŠE VUKANOVIĆA,3,1.66
19,ZA DRŽAVU BIH,3,1.66
19,DNS-DEMOKRATSKI NARODNI SAVEZ,1,0.55
19,SPS - SOCIJALISTIČKA PARTIJA SRPSKE - GORAN SELAK,1,0.55
19,DEMOKRATSKI SAVEZ-DEMOS,1,0.55
19,SLOBODNA STRANKA SRPSKE,0,0
19,OTADŽBINSKA STRANKA,0,0
19,REPUBLIČKA STRANKA SRPSKE-RSS,0,0
19,STRANKA ŽIVOT,0,0
19,DEMOKRATSKI CENTAR REPUBLIKE SRPSKE - DCRS,0,0
19,SRPSKA NAPREDNA STRANKA FBIH,0,0
19,NAŠA PRIČA REPUBLIKA SRPSKA,0,0
19,SAVEZ ZA NOVU POLITIKU,0,0
19,RADNIČKA PARTIJA,0,0
19,SAVEZ ZA DEMOKRATSKU SRPSKU,0,0
19,PARTIJA UJEDINJENIH PENZIONERA (PUP),0,0
19,SELJAČKA STRANKA,0,0
19,PNP - POTKOZARSKI NARODNI POKRET,0,0
19,ZAVIČAJNI SOCIJALDEMOKRATI - MILE MARČETA,0,0
20,SAVEZ NEZAVISNIH SOCIJALDEMOKRATA - SNSD - MILORAD DODIK,176,32.84
20,PDP - PARTIJA DEMOKRATSKOG PROGRESA,144,26.87
20,SDS-SRPSKA DEMOKRATSKA STRANKA,108,20.15
20,UJEDINJENA SRPSKA,23,4.29
20,NARODNA PARTIJA SRPSKE-DARKO BANJAC-PUS-PRVA SDS,21,3.92
20,SOCIJALISTIČKA PARTIJA PETAR ĐOKIĆ-NDP-SNP,19,3.54
20,ZA PRAVDU I RED - LISTA NEBOJŠE VUKANOVIĆA,14,2.61
20,PNP - POTKOZARSKI NARODNI POKRET,13,2.43
20,SPS - SOCIJALISTIČKA PARTIJA SRPSKE - GORAN SELAK,7,1.31
20,DNS-DEMOKRATSKI NARODNI SAVEZ,5,0.93
20,SLOBODNA STRANKA SRPSKE,1,0.19
20,SELJAČKA STRANKA,1,0.19
20,SAVEZ ZA DEMOKRATSKU SRPSKU,1,0.19
